"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Ura Erika" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "Hyper Misao" "MIZUHO" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka-Oneesan"
"20" "Natsu Dakara! Shin-Kiba!" 2014-08-02 1584.25934844072 1465.30535139504 1562.0696758507 1488.14471806497 1469.17568639486 1585.07613812332 1462.78628290179 1496.75982569338 1463.52524676303 1436.93768272695 1509.02851306504 1491.58614694548 1485.34538363472 NA NA NA NA NA NA
"21" "Tokyo Circuit 2014 Round 8" 2014-08-30 1586.47978073929 1463.08491909646 1570.7038450265 1482.20979879742 1469.17568639486 1589.51700272047 1458.34541830464 1496.75982569338 1463.52524676303 1428.32202212388 1509.02851306504 1488.88689703723 1493.96104423779 NA NA NA NA NA NA
"22" "Kyushu First Charge! Miyu Yamashita Triumph Local Box Office" 2014-09-06 1593.69137331188 1472.94851375906 1578.53024486328 1474.99820622483 1469.17568639486 1585.91120643417 1448.48182364204 1496.75982569338 1463.52524676303 1431.92781841017 1509.02851306504 1488.88689703723 1486.13464440102 NA NA NA NA NA NA
"23" "Tokyo Circuit 2014 Round 9" 2014-09-27 1596.78120838867 1483.32785898712 1564.95269110693 1481.17787637839 1469.17568639486 1582.82137135739 1462.05937739839 1496.75982569338 1463.52524676303 1425.7481482566 1509.02851306504 1488.88689703723 1475.75529917296 NA NA NA NA NA NA
"24" "Oyaketsu Festa 2014" 2014-10-12 1603.66224272023 1493.26597830317 1564.95269110693 1471.23975706234 1469.17568639486 1579.38085419161 1455.17834306683 1496.75982569338 1463.52524676303 1429.18866542238 1509.02851306504 1488.88689703723 1475.75529917296 NA NA NA NA NA NA
"25" "Ai Shimizu Appearance" 2014-11-01 1612.65568219922 1490.25944718488 1567.65368531665 1462.52570061603 1469.17568639486 1576.40047694921 1449.77635464739 1496.75982569338 1463.52524676303 1426.23444205588 1509.02851306504 1494.28888545667 1481.71605365776 NA NA NA NA NA NA
"26" "Yokohama First Charge!" 2014-11-03 1619.27168060759 1483.64344877651 1574.3853565498 1453.85622331264 1469.17568639486 1583.74076139342 1443.04468341424 1496.75982569338 1463.52524676303 1418.16853395753 1517.69799036843 1502.35479355502 1474.37576921355 NA NA NA NA NA NA
"27" "Tokyo Circuit 2014 Round 10" 2014-11-22 1613.07105695945 1472.78819796505 1568.91485709203 1464.7114741241 1469.17568639486 1586.84107321749 1437.88111297962 1496.75982569338 1463.52524676303 1415.06822213346 1517.69799036843 1508.55541720316 1485.00983910595 NA NA NA NA NA NA
"28" "Tokyo Circuit 2014 Final Round" 2014-12-28 1620.15042674386 1464.80443975647 1564.92297798774 1472.69523233268 1469.17568639486 1581.03212935699 1441.87299208391 1496.75982569338 1463.52524676303 1410.58934028549 1517.69799036843 1501.47604741875 1495.29766481441 NA NA NA NA NA NA
"29" "The Girls Battle 2015 Round 1" 2015-01-10 1626.70396780845 1473.25654693724 1564.92297798774 1470.15218795859 1469.17568639486 1586.11821810518 1436.78690333572 1496.75982569338 1463.52524676303 1402.13723310472 1517.69799036843 1504.01909179285 1488.74412374982 NA NA NA NA NA NA
"30" "The Girls Battle 2015 Round 2" 2015-02-08 1623.32351518677 1466.49564169389 1564.92297798774 1478.21919013686 1469.17568639486 1592.87912334852 1428.27130326626 1496.75982569338 1463.52524676303 1394.07023092645 1517.69799036843 1507.39954441452 1497.25972381928 NA NA NA NA NA NA
"31" "Shinjuku Dash" 2015-02-28 1632.44949101875 1472.86108008732 1568.10569718445 1486.79139711605 1469.17568639486 1583.75314751654 1419.69909628707 1496.75982569338 1463.52524676303 1407.22114456794 1527.11040739159 1494.24863077303 1487.84730679612 1493.63456160657 1496.81728080329 NA NA NA NA
"32" "The Girls Battle 2015 Round 3" 2015-03-22 1628.68515660067 1465.33241125115 1565.20262968886 1496.98833375694 1469.17568639486 1586.65621501213 1413.8929612959 1496.75982569338 1463.52524676303 1419.74424526053 1534.63907622775 1500.0547657642 1491.61164121421 1483.43762496568 1484.29418011069 NA NA NA NA
"33" "The Girls Battle 2015 Round 4" 2015-04-18 1634.30181425916 1459.71575359266 1565.20262968886 1506.62312913824 1469.17568639486 1579.41094564842 1411.27420880184 1496.75982569338 1463.52524676303 1430.29243878007 1541.88434559147 1496.43213108235 1495.23427589606 1475.5081839402 1474.65938472939 NA NA NA NA
"34" "Kitazawa Dash" 2015-05-23 1621.70283573027 1466.20943458836 1572.67687974204 1500.12944814254 1469.17568639486 1586.48410553136 1403.6773193266 1496.75982569338 1463.52524676303 1427.04559828222 1554.48332412036 1504.02902055759 1498.48111639391 1468.03393388703 1467.58622484644 NA NA NA NA
"35" "The Girls Battle 2015 Round 5" 2015-06-07 1608.43973989926 1471.68391293237 1572.67687974204 1490.08200569708 1469.17568639486 1591.65970071838 1398.50172413958 1496.75982569338 1463.52524676303 1424.30835911021 1557.22056329237 1517.2921163886 1508.52855883938 1462.55945554302 1467.58622484644 NA NA NA NA
"36" "The Girls Battle 2015 Round 6" 2015-06-20 1615.09242193877 1481.4213502989 1572.67687974204 1480.82816216051 1469.17568639486 1599.56977703017 1398.50172413958 1496.75982569338 1463.52524676303 1418.82027368006 1562.70864872252 1514.54807367352 1511.27260155445 1452.82201817649 1462.27731003172 NA NA NA NA
"37" "The Girls Battle 2015 Round 7" 2015-07-04 1619.55752615328 1490.60004951489 1572.67687974204 1474.09993485933 1469.17568639486 1596.20566337958 1394.03661992508 1496.75982569338 1463.52524676303 1418.82027368006 1566.07276237311 1523.05484927769 1518.00082885563 1443.64331896049 1453.77053442755 NA NA NA NA
"38" "Yokohama Dash" 2015-07-18 1619.55752615328 1495.40704600114 1572.67687974204 1487.47653041666 1469.17568639486 1582.82906782224 1391.63312168196 1496.75982569338 1458.71825027678 1418.82027368006 1568.47626061623 1532.90939313624 1508.14628499708 1443.64331896049 1453.77053442755 NA NA NA NA
"39" "Erin Aid" 2015-07-23 1624.88678249573 1497.52624330522 1572.67687974204 1485.35733311259 1469.17568639486 1589.40144104533 1387.39472707381 1496.75982569338 1452.1458770537 1418.82027368006 1572.71465522438 1530.79019583216 1510.26548230116 1438.31406261803 1453.77053442755 NA NA NA NA
"40" "Beer Garden Fight 2015" 2015-08-08 1612.24279641564 1487.17613706727 1572.67687974204 1507.07254960308 1469.17568639486 1586.33265749294 1381.97137615206 1496.75982569338 1454.88066201478 1418.82027368006 1578.85222232916 1532.06907165972 1513.33426585355 1432.17649551325 1456.45910038821 NA NA NA NA
"41" "The Girls Battle 2015 Round 8" 2015-08-29 1617.99979555498 1487.17613706727 1572.67687974204 1500.91381467081 1469.17568639486 1572.16561479994 1394.08305002195 1496.75982569338 1449.12366287544 1418.82027368006 1585.01095726142 1528.98970419359 1516.41363331968 1446.34353820625 1444.34742651832 NA NA NA NA
"42" "You Grow Up" 2015-09-22 1624.72831884877 1487.17613706727 1572.67687974204 1513.28813565514 1469.17568639486 1560.57457664292 1388.41244538901 1496.75982569338 1446.28836055897 1421.65557599653 1572.6366362771 1534.66030882653 1528.0046714767 1436.28608612567 1454.4048785989 1493.27147670621 NA NA NA
"43" "Go Up Higher!" 2015-10-12 1622.53471355426 1491.56334765629 1572.67687974204 1506.09935486122 1469.17568639486 1568.66130987834 1386.21884009449 1496.75982569338 1441.90114996995 1432.59539492546 1574.83024157161 1543.53614616666 1530.19827677121 1434.59902957946 1443.46505966998 1485.18474347079 NA NA NA
"44" "The Girls Battle 2015 Round 9" 2015-10-24 1630.29934271209 1497.09145747791 1572.67687974204 1508.86340977203 1469.17568639486 1565.89725496753 1397.68776586283 1496.75982569338 1436.37304014833 1435.35944983627 1574.83024157161 1535.77151700883 1527.4342218604 1418.76806334664 1439.98576719703 1477.1951101754 1515.83096623282 NA NA
"45" "A Girl's Counterattack" 2015-11-07 1625.74703909689 1501.64376109312 1572.67687974204 1505.05578103963 1469.17568639486 1568.17340677513 1395.41161405523 1496.75982569338 1430.30788137157 1432.32687044789 1574.83024157161 1538.04766881643 1536.43451071437 1421.80064273502 1434.79310707547 1474.91895836779 1521.89612500958 NA NA
"46" "Turn The Next Corner" 2015-12-22 1632.31960383169 1495.07119635831 1572.67687974204 1512.93695377386 1469.17568639486 1575.7664295455 1394.36120825147 1496.75982569338 1422.42670863734 1428.8656252901 1574.83024157161 1531.12517850085 1543.58973250995 1425.26188789281 1427.63788527988 1468.37634140118 1528.81861532516 1510 1490
