"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Ura Erika" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "Hyper Misao" "MIZUHO" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka Tenma" "Marika Kobashi" "Candice LeRae" "Maho Kurone" "Hinako" "Reika Saiki" "Mil Clown" "Cherry" "Laura James" "Maki Itoh" "Sakisama" "Martha" "Yuna Manase" "Mizuki" "Yukio Saint Laurent" "Yuki Kamifuku" "Solo Darling" "Meiko Satomura" "Shiro Koshinaka" "Miu Watanabe" "Pinano Pipipipi" "Hikari Noa" "Raku" "Veda Scott" "Danshoku Dieno" "Riho" "Samara" "Priscilla Kelly" "Yuki Aino" "Su Yung" "Jun Kasai" "Mina Shirakawa" "Haruna Neko" "Pom Harajuku" "YUMI" "Makoto Oishi"
"129" "The 5th Tokyo Princess Cup Tag 1" 2018-06-03 1735.79717396024 1513.44128144795 1572.36584796778 1679.62403408476 1469.16826181481 1500.18506319521 1607.42927953028 1496.80499994093 1538.26632614282 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1359.720348354 1418.24297869387 1323.64438435029 1526.3162614417 1675.47811485094 1302.21973407005 1308.4316795248 1669.20717730139 1410.5960251001 NA 1625.28652247197 1598.12488673141 1753.84832679774 1537.18680372628 1370.54686331527 1619.7289563707 1514.12808357654 1520.3232125215 1576.79566806912 1503.39555030856 1340.05358257328 1581.56342870579 1884.82944885391 2121.60166337656 1478.69723428284 1480.13920592688 1456.86348689031 1482.75678261331 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1477.42576812823 1648.46062699078 1850.98548678812 NA NA NA NA NA
"130" "The 5th Tokyo Princess Cup Tag 2" 2018-06-09 1731.35259259459 1513.44128144795 1572.36584796778 1682.50190253264 1469.16826181481 1500.18506319521 1616.54985104586 1496.80499994093 1542.77085948116 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1365.47608524976 1418.24297869387 1319.13985101195 1526.3162614417 1684.36727758224 1306.6643154357 1308.4316795248 1669.20717730139 1410.5960251001 NA 1628.53056725713 1598.12488673141 1753.84832679774 1537.18680372628 1370.54686331527 1625.84778358421 1514.12808357654 1520.3232125215 1567.67509655354 1503.39555030856 1336.80953778812 1581.56342870579 1884.82944885391 2121.60166337656 1476.53883294693 1475.82240325507 1454.7050855544 1473.86761988201 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1471.30694091472 1648.46062699078 1850.98548678812 NA NA NA NA NA
"131" "The 5th Tokyo Princess Cup Tag 3" 2018-06-17 1712.94912916038 1513.44128144795 1572.36584796778 1668.68379022117 1469.16826181481 1500.18506319521 1622.20163912236 1496.80499994093 1556.58897179263 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1362.72483748291 1418.24297869387 1319.13985101195 1526.3162614417 1687.11852534909 1325.06777886991 1308.4316795248 1669.20717730139 1410.5960251001 NA 1634.29083582504 1598.12488673141 1753.84832679774 1537.18680372628 1379.57886558541 1625.84778358421 1514.12808357654 1520.3232125215 1573.49081387125 1503.39555030856 1327.77753551799 1581.56342870579 1884.82944885391 2121.60166337656 1473.63097428808 1470.00668593736 1449.0532974779 1476.77547854087 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1465.54667234681 1648.46062699078 1850.98548678812 NA NA NA NA NA
"132" "Up Up Tokyo Joshi ~All Upper Kick Together!~" 2018-06-27 1716.97693993651 1513.44128144795 1572.36584796778 1673.08849945268 1469.16826181481 1500.18506319521 1628.08135224839 1496.80499994093 1564.33132925833 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1362.72483748291 1418.24297869387 1322.66907266844 1526.3162614417 1690.54889302171 1335.14577035432 1308.4316795248 1669.20717730139 1410.5960251001 NA 1636.00601966135 1598.12488673141 1753.84832679774 1537.18680372628 1376.14849791279 1632.9062268972 1514.12808357654 1516.793990865 1571.77563003494 1503.39555030856 1317.69954403357 1581.56342870579 1884.82944885391 2121.60166337656 1469.60316351195 1464.12697281133 1444.64858824638 1469.03312107518 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1458.48822903382 1648.46062699078 1850.98548678812 NA NA NA NA NA
"133" "The 5th Tokyo Princess Cup Final Fight" 2018-07-08 1718.86112479129 1513.44128144795 1572.36584796778 1670.67065955357 1469.16826181481 1500.18506319521 1627.88081783174 1496.80499994093 1556.1458840779 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1361.67601181621 1418.24297869387 1325.08691256756 1526.3162614417 1701.22429030782 1332.8563526653 1308.4316795248 1669.20717730139 1410.5960251001 NA 1636.00601966135 1598.12488673141 1753.84832679774 1537.18680372628 1379.91686762234 1637.74190669543 1516.54592347566 1524.85146778559 1573.65981488972 1503.39555030856 1315.28170413445 1581.56342870579 1884.82944885391 2121.60166337656 1467.71897865717 1460.35860310177 1439.81290844815 1467.1489362204 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1451.47957777993 1648.46062699078 1850.98548678812 NA NA NA NA NA
"134" "Go Ahead, Hot Guys In Osaka!" 2018-07-16 1722.60613687628 1513.44128144795 1572.36584796778 1672.54316559606 1469.16826181481 1500.18506319521 1631.75091504639 1496.80499994093 1563.45669622075 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1357.93099973122 1418.24297869387 1331.77118971876 1526.3162614417 1699.35178426532 1340.51910316092 1308.4316795248 1669.20717730139 1410.5960251001 NA 1636.00601966135 1598.12488673141 1753.84832679774 1537.18680372628 1376.04677040768 1641.08404527103 1516.54592347566 1521.50932920999 1569.82843964191 1503.39555030856 1307.61895363883 1581.56342870579 1884.82944885391 2121.60166337656 1477.70257153168 1453.04779095892 1433.12863129695 1457.16534334589 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1455.31095302774 1648.46062699078 1850.98548678812 NA NA NA NA NA
"135" "Go Ahead, Hot Guys In Shinkiba!" 2018-07-21 1724.68078548835 1513.44128144795 1572.36584796778 1676.99547516679 1469.16826181481 1500.18506319521 1634.35125951345 1496.80499994093 1568.65738515486 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1368.16204236907 1418.24297869387 1327.62189249462 1526.3162614417 1696.75143979827 1335.31841422681 1308.4316795248 1669.20717730139 1410.5960251001 NA 1636.00601966135 1598.12488673141 1753.84832679774 1537.18680372628 1378.12141901975 1639.00939665896 1514.47127486359 1529.56396104135 1573.97773686605 1503.39555030856 1302.58600994522 1581.56342870579 1884.82944885391 2121.60166337656 1487.11215009157 1444.99315912756 1427.93053235272 1447.755764786 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1450.85864345701 1648.46062699078 1850.98548678812 NA NA NA NA NA
"136" "Fighting Beer Garden 2018 ~Tokyo Joshi Pro Day~" 2018-08-04 1725.67053376812 1513.44128144795 1572.36584796778 1684.59585817336 1469.16826181481 1500.18506319521 1645.51281872849 1496.80499994093 1568.65738515486 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1372.56521203246 1418.24297869387 1323.84448564155 1526.3162614417 1694.00568712169 1332.28859429332 1308.4316795248 1669.20717730139 1410.5960251001 NA 1638.55345509336 1598.12488673141 1753.84832679774 1537.18680372628 1373.21749498476 1642.78680351203 1516.35997829012 1526.56814092108 1583.97462135529 1501.50684688203 1297.09450459206 1581.56342870579 1884.82944885391 2121.60166337656 1483.96976292585 1439.00151888702 1425.63605882121 1446.24085481926 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1446.26969639399 1648.46062699078 1850.98548678812 NA NA NA NA NA
"137" "Go Ahead, Hot Guys In Itabashi!" 2018-08-12 1722.66838274478 1513.44128144795 1572.36584796778 1679.70392302779 1469.16826181481 1500.18506319521 1648.22635335512 1496.80499994093 1568.65738515486 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1384.45443231379 1418.24297869387 1321.13095101492 1526.3162614417 1700.00998916838 1342.07246458447 1308.4316795248 1669.20717730139 1410.5960251001 NA 1638.55345509336 1598.12488673141 1753.84832679774 1537.18680372628 1373.21749498476 1647.53924712232 1516.35997829012 1529.57029194442 1591.17319249629 1501.50684688203 1292.34206098177 1581.56342870579 1884.82944885391 2121.60166337656 1476.77119178485 1427.11229860569 1419.63175677452 1436.45698452811 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1541.23050535909 1451.16163153956 1648.46062699078 1850.98548678812 NA NA NA NA NA
"138" "Go Ahead, Hot Guys In Nagoya!" 2018-08-18 1719.32681346506 1513.44128144795 1572.36584796778 1686.27616299463 1469.16826181481 1500.18506319521 1645.24778309991 1496.80499994093 1568.65738515486 1417.10038457523 1599.72319755566 1551.14203340603 1576.29541922167 1395.94010822419 1418.24297869387 1314.44781245548 1526.3162614417 1706.69312772782 1345.41403386419 1308.4316795248 1669.20717730139 1410.5960251001 NA 1641.53202534856 1598.12488673141 1753.84832679774 1537.18680372628 1379.17463549518 1651.78249172402 1516.35997829012 1526.6384734028 1588.19462224108 1501.50684688203 1288.488547209 1581.56342870579 1884.82944885391 2121.60166337656 1479.74976204006 1423.47187718047 1415.38851217281 1424.97130861772 1626.60604110435 1782.11085162523 1725.33568136383 1528.76669320162 1545.08401913186 1445.20449102915 1648.46062699078 1850.98548678812 NA NA NA NA NA
