"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Ura Erika" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "Hyper Misao" "MIZUHO" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka-Oneesan" "Marika Kobashi" "Candice LeRae" "Maho Kurone" "Hinako" "Reika Saiki" "Mil Clown" "Cherry" "Laura James" "Maki Itoh" "Sakisama" "Martha" "Yuna Manase" "Mizuki" "Yukio Saint Laurent" "Yuki Kamifuku" "Solo Darling" "Meiko Satomura" "Shiro Koshinaka"
"51" "Hop! Step! Osaka, Jump!!" 2016-03-06 1637.27122453806 1491.19882150891 1572.8018404591 1517.2098514502 1469.17568639486 1583.49818457171 1388.98094971485 1496.75982569338 1435.35600940177 1428.68557217257 1583.02461289386 1550.2093957559 1573.33299978711 1411.42475406758 1424.89474338414 1434.09664721575 1512.1886621582 1549.01496068085 1468.95701347649 1483.67399624166 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "Hop! Step! Kitazawa, Jump!!" 2016-03-13 1645.73575280232 1483.41272182174 1572.8018404591 1528.81130044385 1469.17568639486 1575.03365630744 1395.75807944339 1496.75982569338 1431.9674445375 1428.68557217257 1583.02461289386 1546.31634591232 1561.73155079346 1415.31780391116 1424.89474338414 1427.31951748721 1519.97476184537 1557.15615967686 1472.34557834076 1475.53279724564 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "Hop! Step! Kasukabe, Jump!!" 2016-04-02 1640.09440676037 1489.22921084257 1572.8018404591 1530.61559976471 1469.17568639486 1582.16121418838 1400.28226291275 1496.75982569338 1425.42394883512 1428.68557217257 1585.39421108462 1535.55962356352 1569.74249502618 1403.35328425174 1424.89474338414 1420.42573582708 1530.73148419417 1569.12067933628 1465.21802045982 1472.08590641558 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "Tokyo Joshi Pro X Idol Shibuya Night Danger" 2016-04-18 1644.80788791858 1484.4090666924 1572.8018404591 1532.97234034382 1469.17568639486 1582.16121418838 1411.3105041898 1496.75982569338 1420.7104676769 1428.68557217257 1585.39421108462 1533.20288298441 1569.74249502618 1403.35328425174 1424.89474338414 1414.21763870021 1530.73148419417 1576.21619546905 1458.12250432705 1472.08590641558 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "Hop! Step! Yokohama, Jump!!" 2016-04-29 1636.40768172767 1480.20896359694 1572.8018404591 1537.17244343927 1469.17568639486 1571.99011949288 1419.71071038071 1496.75982569338 1413.83966851988 1428.68557217257 1585.39421108462 1540.07368214143 1569.74249502618 1415.30615842242 1424.89474338414 1405.47463843241 1530.73148419417 1586.38729016455 1466.86550459485 1460.1330322449 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "Battle Mission 2016 Code.4" 2016-05-14 1632.39564470475 1477.2249024978 1572.8018404591 1545.90353055501 1469.17568639486 1557.76313718796 1427.73478442655 1496.75982569338 1413.83966851988 1428.68557217257 1585.39421108462 1544.08571916435 1569.74249502618 1429.53314072733 1424.89474338414 1400.2571046843 1530.73148419417 1591.60482391267 1458.841430549 1454.38600622831 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "Yokohama 1:00 Set" 2016-05-28 1637.10344316368 1485.04513322685 1572.8018404591 1553.44884688192 1469.17568639486 1564.87250928112 1423.02698596762 1496.75982569338 1413.83966851988 1428.68557217257 1585.39421108462 1540.14460371914 1569.74249502618 1425.37850671574 1424.89474338414 1392.43687395525 1530.73148419417 1599.70057336947 1451.29611422209 1447.27663413516 1683.24424843305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "Nerima Love Rin" 2016-06-15 1640.32122044995 1494.07680208641 1572.8018404591 1547.01329230937 1469.17568639486 1572.31175545065 1421.00620591827 1496.75982569338 1413.83966851988 1428.68557217257 1585.39421108462 1546.58015829169 1569.74249502618 1419.96004059555 1424.89474338414 1385.56791061338 1530.73148419417 1596.48279608319 1442.26444536252 1447.27663413516 1683.24424843305 NA NA 1511.86896334187 NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "Yokodai Station Event Wrestling Part 1" 2016-06-18 1636.41784241741 1494.07680208641 1572.8018404591 1554.0865236153 1469.17568639486 1572.31175545065 1428.81296198337 1496.75982569338 1413.83966851988 1428.68557217257 1585.39421108462 1550.48353632424 1569.74249502618 1409.56428970581 1424.89474338414 1385.56791061338 1530.73148419417 1606.87854697293 1435.1912140566 1439.46987807007 1683.24424843305 NA NA 1511.86896334187 NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "Yokodai Station Event Wrestling Part 2" 2016-06-18 1639.10590404211 1502.39798296214 1572.8018404591 1551.39846199059 1469.17568639486 1572.31175545065 1438.25950680221 1496.75982569338 1413.83966851988 1428.68557217257 1585.39421108462 1550.48353632424 1569.74249502618 1400.11774488697 1424.89474338414 1380.19178736398 1530.73148419417 1606.87854697293 1426.87003318087 1444.84600131947 1683.24424843305 NA NA 1511.86896334187 NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "Shibuya Is Truly Wonderful" 2016-06-27 1635.84246692612 1505.66142007813 1572.8018404591 1557.92533622257 1469.17568639486 1572.31175545065 1449.209188206 1496.75982569338 1413.83966851988 1428.68557217257 1585.39421108462 1557.06854791683 1569.74249502618 1393.590870655 1424.89474338414 1375.98817064252 1530.73148419417 1600.1324822906 1420.28502158827 1444.84600131947 1683.24424843305 NA NA 1511.86896334187 NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "Kasukabe Love Rin" 2016-07-09 1619.81623438782 1510.67716468197 1572.8018404591 1560.43320852449 1469.17568639486 1561.87330195785 1459.08361219392 1496.75982569338 1413.83966851988 1428.68557217257 1585.39421108462 1567.50700140963 1569.74249502618 1409.61710319329 1424.89474338414 1370.97242603869 1530.73148419417 1605.3736971048 1415.04380677407 1434.97157733155 1683.24424843305 NA NA 1509.36109103995 NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "Yokohama Love Rin" 2016-07-23 1627.64232765126 1497.8477720476 1572.8018404591 1567.5961513503 1469.17568639486 1557.92467469523 1451.92066936811 1496.75982569338 1407.99507785325 1428.68557217257 1585.39421108462 1573.35159207627 1569.74249502618 1422.44649582766 1424.89474338414 1366.85280185969 1530.73148419417 1609.49332128379 1407.69369998889 1431.09411133074 1683.24424843305 NA NA 1516.71119782514 NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "Delicious Sacas Pro Wrestling 2016 ~Tokyo Joshi Pro~" 2016-07-30 1623.45770661065 1497.8477720476 1572.8018404591 1575.96539343151 1469.17568639486 1563.85866584474 1456.10529040872 1496.75982569338 1402.06108670374 1428.68557217257 1585.39421108462 1564.98234999505 1569.74249502618 1432.69534282439 1424.89474338414 1361.4525564925 1530.73148419417 1614.89356665098 1410.39382267248 1420.84526433402 1683.24424843305 NA NA 1514.01107514154 NA NA NA NA NA NA NA NA NA NA NA NA NA
