"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Ura Erika" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "Hyper Misao" "MIZUHO" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka-Oneesan"
"20" "Natsu Dakara! Shin-Kiba!" 2014-08-02 1584.50851646866 1464.09462200377 1556.96295833618 1490.05298472374 1469.17568639486 1558.1779289911 1462.49028102925 1496.75982569338 1472.21742688989 1444.13613960352 1509.02851306504 1482.2128686519 1489.66212279507 NA NA NA NA NA NA
"21" "Tokyo Circuit 2014 Round 8" 2014-08-30 1586.83737605779 1461.76576241464 1556.96295833618 1490.05298472374 1469.17568639486 1562.83564816936 1457.83256185099 1496.75982569338 1472.21742688989 1435.43903435614 1509.02851306504 1482.2128686519 1498.35922804245 NA NA NA NA NA NA
"22" "Kyushu First Charge! Miyu Yamashita Triumph Local Box Office" 2014-09-06 1593.7975497325 1471.65256063816 1565.2920241559 1483.09281104903 1469.17568639486 1559.35556133201 1447.94576362747 1496.75982569338 1472.21742688989 1438.9191211935 1509.02851306504 1482.2128686519 1490.03016222273 NA NA NA NA NA NA
"23" "Tokyo Circuit 2014 Round 9" 2014-09-27 1596.75536041103 1482.18101777004 1552.03735484453 1489.00843240609 1469.17568639486 1556.39775065348 1461.20043293884 1496.75982569338 1472.21742688989 1433.00349983644 1509.02851306504 1482.2128686519 1479.50170509085 NA NA NA NA NA NA
"24" "Oyaketsu Festa 2014" 2014-10-12 1603.30536818395 1492.37750126909 1552.03735484453 1478.81194890704 1469.17568639486 1553.12274676702 1454.65042516592 1496.75982569338 1472.21742688989 1436.27850372289 1509.02851306504 1482.2128686519 1479.50170509085 NA NA NA NA NA NA
"25" "Ai Shimizu Appearance1" 2014-11-01 1609.31796246584 1489.37120412814 1552.03735484453 1472.79935462516 1469.17568639486 1553.12274676702 1454.65042516592 1496.75982569338 1472.21742688989 1439.28480086384 1509.02851306504 1482.2128686519 1479.50170509085 NA NA NA NA NA NA
"26" "Ai Shimizu Appearance2" 2014-11-01 1609.31796246584 1489.37120412814 1554.86235736553 1469.97435210416 1469.17568639486 1553.12274676702 1449.00042012392 1496.75982569338 1472.21742688989 1439.28480086384 1509.02851306504 1487.8628736939 1479.50170509085 NA NA NA NA NA NA
"27" "Ai Shimizu Appearance3" 2014-11-01 1612.19174697618 1489.37120412814 1554.86235736553 1469.97435210416 1469.17568639486 1550.24896225668 1449.00042012392 1496.75982569338 1472.21742688989 1433.53723184315 1509.02851306504 1487.8628736939 1485.24927411153 NA NA NA NA NA NA
"28" "Yokohama First Charge!" 2014-11-03 1618.79693581346 1482.76601529087 1561.90632320689 1461.09371069893 1469.17568639486 1558.39964631392 1441.95645428256 1496.75982569338 1472.21742688989 1425.08822994297 1517.90915447026 1496.31187559408 1477.09859005429 NA NA NA NA NA NA
"29" "Tokyo Circuit 2014 Round 10" 2014-11-22 1612.23412993578 1472.14304400723 1561.90632320689 1471.71668198257 1469.17568639486 1561.68104925276 1441.95645428256 1496.75982569338 1472.21742688989 1421.80682700413 1517.90915447026 1502.87468147176 1477.09859005429 NA NA NA NA NA NA
"30" "Tokyo Circuit 2014 Final Round" 2014-12-28 1619.18650134141 1464.33289122897 1558.00124681776 1479.52683476083 1469.17568639486 1561.68104925276 1445.86153067169 1496.75982569338 1472.21742688989 1421.80682700413 1517.90915447026 1495.92231006613 1477.09859005429 NA NA NA NA NA NA
"31" "The Girls Battle 2015 Round 1" 2015-01-10 1625.31059262899 1473.11496883578 1558.00124681776 1476.82019893533 1469.17568639486 1567.09432090375 1440.4482590207 1496.75982569338 1472.21742688989 1413.02474939732 1517.90915447026 1498.62894589162 1470.97449876671 NA NA NA NA NA NA
"32" "The Girls Battle 2015 Round 2" 2015-02-08 1621.82050039489 1466.13478436758 1558.00124681776 1485.00437971486 1469.17568639486 1574.07450537195 1431.32462091652 1496.75982569338 1472.21742688989 1404.84056861779 1517.90915447026 1502.11903812572 1480.09813687088 NA NA NA NA NA NA
"33" "Shinjuku Dash" 2015-02-28 1630.45484634245 1472.56998050888 1561.21884488841 1493.47152963504 1469.17568639486 1565.44015942439 1422.85747099635 1496.75982569338 1472.21742688989 1417.56952633592 1526.82514210622 1489.3900804076 1471.18214923493 1493.5648038587 1496.78240192935 NA NA NA NA
"34" "The Girls Battle 2015 Round 3" 2015-03-22 1626.6215392504 1464.90336632478 1558.22375367624 1503.47421428293 1469.17568639486 1568.43525063656 1416.86728857202 1496.75982569338 1472.21742688989 1429.81075643342 1534.49175629032 1495.38026283194 1475.01545632698 1483.56211921081 1484.54117183185 NA NA NA NA
"35" "The Girls Battle 2015 Round 4" 2015-04-18 1632.2762825233 1459.24862305188 1558.22375367624 1512.92981628419 1469.17568639486 1561.2486027647 1416.86728857202 1496.75982569338 1472.21742688989 1429.81075643342 1541.67840416218 1491.78693889601 1478.60878026291 1483.56211921081 1475.08556983059 NA NA NA NA
"36" "Kitazawa Dash" 2015-05-23 1619.72620455945 1465.96213858515 1566.10729797874 1506.21630075092 1469.17568639486 1568.81825249919 1408.99083679457 1496.75982569338 1472.21742688989 1426.45399866679 1554.22848212603 1499.66339067345 1481.96553802954 1475.67857490831 1467.5159200961 NA NA NA NA
"37" "The Girls Battle 2015 Round 5" 2015-06-07 1606.40180784749 1471.50691798765 1566.10729797874 1495.51943901457 1469.17568639486 1574.51724509032 1403.29184420343 1496.75982569338 1472.21742688989 1423.68160896554 1557.00087182728 1512.9877873854 1492.66239976589 1470.1337955058 1467.5159200961 NA NA NA NA
"38" "The Girls Battle 2015 Round 6" 2015-06-20 1613.3144706239 1481.46739655145 1566.10729797874 1488.60677623816 1469.17568639486 1574.51724509032 1403.29184420343 1496.75982569338 1472.21742688989 1418.08956215692 1562.5929186359 1510.19176398109 1495.4584231702 1460.173316942 1467.5159200961 NA NA NA NA
"39" "The Girls Battle 2015 Round 7" 2015-07-04 1617.91207590399 1490.85526994051 1566.10729797874 1481.89144261831 1469.17568639486 1571.1595782804 1398.69423892335 1496.75982569338 1472.21742688989 1418.08956215692 1565.95058544583 1518.96959475263 1502.17375679005 1450.78544355295 1458.73808932456 NA NA NA NA
"40" "Yokohama Dash" 2015-07-18 1617.91207590399 1495.7798118885 1566.10729797874 1494.40570158517 1469.17568639486 1558.64531931355 1396.23196794935 1496.75982569338 1467.2928849419 1418.08956215692 1568.41285641982 1528.48654790762 1492.65680363506 1450.78544355295 1458.73808932456 NA NA NA NA
"41" "Erin Aid" 2015-07-23 1623.44140174596 1495.7798118885 1566.10729797874 1494.40570158517 1469.17568639486 1566.07494704398 1396.23196794935 1496.75982569338 1459.86325721147 1418.08956215692 1568.41285641982 1528.48654790762 1492.65680363506 1445.25611771098 1458.73808932456 NA NA NA NA
"42" "Beer Garden Fight 2015" 2015-08-08 1610.77445469169 1485.74026202095 1566.10729797874 1505.38349305161 1469.17568639486 1562.97980568821 1396.23196794935 1496.75982569338 1459.86325721147 1418.08956215692 1574.60313913136 1517.50875644117 1495.75194499083 1439.06583499945 1458.73808932456 NA NA NA NA
"43" "The Girls Battle 2015 Round 8" 2015-08-29 1616.68489108862 1485.74026202095 1566.10729797874 1499.17148293501 1469.17568639486 1549.55717994713 1408.01187687469 1496.75982569338 1453.95282081455 1418.08956215692 1580.81514924796 1514.40275138287 1498.85795004913 1452.48846074053 1446.95818039923 NA NA NA NA
"44" "You Grow Up" 2015-09-22 1623.44725161828 1485.74026202095 1566.10729797874 1511.47905734049 1469.17568639486 1538.10820896137 1402.0195455123 1496.75982569338 1450.95665513335 1421.08572783811 1568.50757484248 1520.39508274526 1510.30692103489 1442.32929991878 1457.11734122098 1493.23763947034 NA NA NA
"45" "Go Up Higher!" 2015-10-12 1623.44725161828 1485.74026202095 1566.10729797874 1511.47905734049 1469.17568639486 1546.82386283995 1402.0195455123 1496.75982569338 1450.95665513335 1432.11909898261 1568.50757484248 1520.39508274526 1510.30692103489 1442.32929991878 1446.08397007649 1484.52198559176 NA NA NA
"46" "DDT Utan Festa 2015" 2015-10-18 1628.76958477843 1485.74026202095 1566.10729797874 1508.81789076041 1469.17568639486 1546.82386283995 1396.69721235215 1496.75982569338 1450.95665513335 1434.78026556268 1568.50757484248 1520.39508274526 1510.30692103489 1442.32929991878 1446.08397007649 1484.52198559176 NA NA NA
"47" "The Girls Battle 2015 Round 9" 2015-10-24 1635.74769431936 1485.74026202095 1566.10729797874 1508.81789076041 1469.17568639486 1546.82386283995 1396.69721235215 1496.75982569338 1450.95665513335 1434.78026556268 1568.50757484248 1513.41697320433 1510.30692103489 1433.97411746518 1446.08397007649 1484.52198559176 1508.3551824536 NA NA
"48" "A Girl's Counterattack" 2015-11-07 1635.74769431936 1485.74026202095 1566.10729797874 1508.81789076041 1469.17568639486 1546.82386283995 1396.69721235215 1496.75982569338 1444.83174438431 1431.71781018816 1568.50757484248 1513.41697320433 1510.30692103489 1437.0365728397 1446.08397007649 1484.52198559176 1514.48009320264 NA NA
"49" "Turn The Next Corner" 2015-12-22 1641.67981572813 1479.80814061219 1566.10729797874 1516.99676434647 1469.17568639486 1546.82386283995 1396.69721235215 1496.75982569338 1436.65287079826 1428.41509021878 1568.50757484248 1506.81153326556 1518.47920570161 1440.33929280909 1437.91168540977 1484.52198559176 1521.08553314141 1510 1490
